activity_id	opp_id	activity_at	description	type	contact_name
A60175	O5062	2026-01-11	Proposal shared with legal	call	IT Manager
A60176	O5062	2026-01-05	Security questionnaire sent	meeting	Head of Compliance
A60177	O5062	2026-02-28	Proposal shared with legal	email	IT Manager
A60178	O5062	2026-03-04	Proposal shared with legal	call	CIO
A60179	O5064	2025-12-17	Intro call with bank stakeholders	demo	IT Manager
A60180	O5064	2025-12-18	Negotiation on pricing	call	Procurement
A60181	O5064	2026-02-17	Management review scheduled	meeting	Procurement
A60182	O5064	2025-12-15	Security questionnaire sent	email	CIO
A60183	O5065	2025-11-01	Management review scheduled	demo	Head of Compliance
A60184	O5066	2025-10-22	Negotiation on pricing	call	Head of Compliance
A60185	O5066	2025-08-21	Security questionnaire sent	meeting	Procurement
A60186	O5066	2025-10-21	Demo delivered to ops team	meeting	Procurement
A60187	O5066	2025-09-07	Security questionnaire sent	email	Procurement
A60188	O5066	2025-09-19	Management review scheduled	meeting	Procurement
A60189	O5067	2026-01-07	Intro call with bank stakeholders	call	Procurement
A60190	O5067	2026-02-02	Intro call with bank stakeholders	demo	Procurement
A60191	O5067	2025-11-18	Proposal shared with legal	demo	Head of Compliance
A60192	O5069	2025-11-08	Intro call with bank stakeholders	meeting	Head of Compliance
A60193	O5069	2025-10-10	Management review scheduled	email	IT Manager
A60194	O5070	2026-02-06	Negotiation on pricing	call	Head of Compliance
A60195	O5070	2026-03-06	Security questionnaire sent	call	IT Manager
A60196	O5072	2026-03-01	Demo delivered to ops team	demo	Procurement
A60197	O5072	2026-01-20	Negotiation on pricing	call	IT Manager
A60198	O5073	2025-12-27	Management review scheduled	demo	Head of Compliance
A60199	O5073	2025-12-08	Intro call with bank stakeholders	email	IT Manager
A60200	O5073	2025-12-18	Management review scheduled	call	CIO
A60201	O5074	2025-11-16	Security questionnaire sent	meeting	Head of Compliance
A60202	O5075	2025-10-28	Demo delivered to ops team	email	CIO
A60050	O5015	2025-11-17	Security questionnaire sent	email	CIO
A60051	O5016	2025-08-29	Proposal shared with legal	demo	Head of Compliance
A60052	O5016	2025-11-10	Proposal shared with legal	email	Procurement
A60053	O5016	2025-09-24	Demo delivered to ops team	meeting	CIO
A60054	O5017	2026-03-08	Management review scheduled	email	CIO
A60055	O5017	2026-03-08	Proposal shared with legal	meeting	IT Manager
A60056	O5018	2026-03-08	Intro call with bank stakeholders	call	Head of Compliance
