note_id	opp_id	note_at	note_type	note_text	tags
N000005	O5063	2025-09-07	risk	Risk: credit policy changes pending; requirements still moving.	risk;core_banking_suite;loan_origination;at_risk
N000006	O5064	2026-01-07	neutral	Shared integration checklist and required endpoint specs.	integration;payments;real-time_payments
N000007	O5064	2026-01-17	risk	Risk: scheme certification timeline tight for planned go-live.	timeline;risk;golive;certification;payments;real-time_payments;at_risk
N000010	O5065	2025-11-11	risk	Risk: credit policy changes pending; requirements still moving.	risk;core_banking_suite;loan_origination;at_risk
N000011	O5066	2025-08-02	neutral	Awaiting network participation confirmation from compliance.	compliance;payments;real-time_payments
N000013	O5066	2025-10-27	risk	Risk: scheme certification timeline tight for planned go-live.	timeline;risk;golive;certification;payments;real-time_payments;at_risk
N000014	O5066	2025-11-16	risk	Concern: fraud controls need enhancement before launch.	fraud;payments;real-time_payments;at_risk
N000018	O5068	2026-02-22	risk	Timeline risk: parallel project competing for same analysts.	timeline;risk;stress_test_pro;at_risk
N000020	O5072	2026-02-12	neutral	Awaiting network participation confirmation from compliance.	compliance;payments;real-time_payments
N000021	O5072	2026-03-04	risk	Concern: fraud controls need enhancement before launch.	fraud;payments;real-time_payments;at_risk
N000022	O5073	2025-12-05	neutral	Captured current onboarding SLA and exception rates.	risk;kyc_orchestrator
N000023	O5073	2025-12-09	risk	Concern: data residency requirement needs hosting clarification.	data;risk;kyc_orchestrator;at_risk
N000027	O5075	2025-08-11	neutral	Scheduled workshop on model governance and monitoring.	golive;risk;aml_monitor
N000029	O5075	2025-08-16	risk	Data access approvals delayed; impacts pilot timeline.	pilot;timeline;data;risk;aml_monitor;at_risk
N000030	O5075	2025-08-19	risk	Risk: false positive targets aggressive; may need longer tuning.	risk;aml_monitor;at_risk;positive
N000031	O5075	2025-09-02	risk	Concern: regulator audit upcoming; team bandwidth limited.	audit;risk;aml_monitor;at_risk
N000032	O5009	2025-10-23	neutral	Requested chart-of-accounts sample and reconciliation reports.	core_banking_suite;account_ledger
N000034	O5009	2025-12-15	risk	Competitor pushing discount; pricing pressure increasing.	pricing;competitor;core_banking_suite;account_ledger;at_risk
N000040	O5012	2025-09-25	neutral	Captured current onboarding SLA and exception rates.	risk;kyc_orchestrator
N000041	O5012	2025-09-29	risk	Concern: data residency requirement needs hosting clarification.	data;risk;kyc_orchestrator;at_risk
N000054	O5017	2026-03-05	neutral	Collected current cash forecast spreadsheet and approval steps.	payments;treasury_manager
N000056	O5017	2026-03-07	risk	Stakeholder change in treasury; decision timeline uncertain.	timeline;payments;treasury_manager;at_risk
N000064	O5049	2025-09-30	neutral	Scheduled session on payment factory and controls.	payments;treasury_manager
N000066	O5049	2025-10-19	risk	Concern: integration with TMS vendor unclear; needs joint session.	integration;payments;treasury_manager;at_risk
N000067	O5050	2026-01-28	neutral	Shared integration checklist and required endpoint specs.	integration;payments;real-time_payments
N000069	O5050	2026-02-06	risk	Risk: scheme certification timeline tight for planned go-live.	timeline;risk;golive;certification;payments;real-time_payments;at_risk
N000070	O5050	2026-02-27	risk	Vendor risk review flagged third-party dependency.	risk;payments;real-time_payments;at_risk
N000077	O5001	2025-07-30	neutral	Requested chart-of-accounts sample and reconciliation reports.	core_banking_suite;account_ledger
N000079	O5001	2025-08-20	risk	Competitor pushing discount; pricing pressure increasing.	pricing;competitor;core_banking_suite;account_ledger;at_risk
N000080	O5001	2025-09-03	risk	Concern: data quality gaps discovered in trial balance extracts.	data;core_banking_suite;account_ledger;at_risk
N000081	O5001	2025-09-10	risk	Risk: legacy customizations complicate migration scope and testing.	risk;migration;core_banking_suite;account_ledger;at_risk
N000087	O5006	2025-12-27	neutral	Requested sample portfolios and current stress scenarios.	risk;stress_test_pro
N000089	O5006	2026-03-03	risk	Timeline risk: parallel project competing for same analysts.	timeline;risk;stress_test_pro;at_risk
N000101	O5058	2025-09-30	neutral	Scheduled session on payment factory and controls.	payments;treasury_manager
N000102	O5058	2025-10-01	risk	Stakeholder change in treasury; decision timeline uncertain.	timeline;payments;treasury_manager;at_risk
N000104	O5059	2026-03-23	risk	Timeline risk: parallel project competing for same analysts.	timeline;risk;stress_test_pro;at_risk
N000113	O5038	2025-12-21	risk	Vendor risk review flagged third-party dependency.	risk;payments;real-time_payments;at_risk
N000114	O5040	2025-11-29	risk	Concern: source CRM latency may affect real-time experiences.	latency;core_banking_suite;customer_360;at_risk
N000115	O5041	2026-01-29	neutral	Scheduled meeting with compliance to validate control points.	compliance;risk;kyc_orchestrator
N000117	O5041	2026-02-21	risk	Risk: sanctions screening vendor contract renewal may change inputs.	risk;kyc_orchestrator;at_risk
N000118	O5042	2025-07-21	neutral	Collected current cash forecast spreadsheet and approval steps.	payments;treasury_manager
N000120	O5042	2025-09-11	risk	Risk: FX module scope expanding; may require add-on budget.	budget;risk;payments;treasury_manager;at_risk
N000121	O5044	2025-09-28	neutral	Waiting for IT to confirm target architecture and access.	core_banking_suite;account_ledger
N000123	O5044	2025-10-28	risk	Risk: legacy customizations complicate migration scope and testing.	risk;migration;core_banking_suite;account_ledger;at_risk
N000127	O5031	2025-09-16	neutral	Captured data sources list and ownership for onboarding plan.	data;core_banking_suite;customer_360
N000129	O5031	2025-09-29	risk	Data sharing approvals pending; could delay pilot start.	pilot;data;core_banking_suite;customer_360
N000130	O5031	2025-10-04	risk	Risk: consent management requirements need legal clarification.	legal;risk;core_banking_suite;customer_360;at_risk
N000131	O5032	2026-03-05	neutral	Waiting for IT to confirm target architecture and access.	core_banking_suite;account_ledger
N000132	O5032	2026-03-07	risk	Risk: legacy customizations complicate migration scope and testing.	risk;migration;core_banking_suite;account_ledger;at_risk
N000133	O5033	2026-02-23	risk	Budget approval delayed; CFO requests revised payback assumptions.	budget;core_banking_suite;loan_origination;at_risk
N000145	O5020	2025-07-05	neutral	Collected current process maps and pain points from SME.	core_banking_suite;loan_origination
N000147	O5020	2025-07-26	risk	Risk: credit policy changes pending; requirements still moving.	risk;core_banking_suite;loan_origination;at_risk
N000148	O5021	2026-02-19	neutral	Scheduled meeting with compliance to validate control points.	compliance;risk;kyc_orchestrator
N000150	O5021	2026-02-26	risk	Concern: data residency requirement needs hosting clarification.	data;risk;kyc_orchestrator;at_risk
N000151	O5021	2026-03-01	risk	Risk: sanctions screening vendor contract renewal may change inputs.	risk;kyc_orchestrator;at_risk
N000157	O5024	2025-10-25	neutral	Requested sample portfolios and current stress scenarios.	risk;stress_test_pro
